firstname,lastname,season,games,games_started,minutes,fg_made,fg_att,fg_pct,pt3_made,pt3_att,pt3_pct,ft_made,ft_att,ft_pct,steals,turnovers,off_rebounds,def_rebounds,tot_rebounds,assists,blocks,fouls,flag_fouls,tech_fouls,ejected,points
Deron,Williams,2009,76,76,2804,494,1053,46.9,96,259,37.1,335,418,80.1,96,252,50,253,303,798,16,208,0,1,0,1419
Jason,Williams,2009,82,18,1707,189,426,44.4,84,221,38,31,41,75.6,53,87,7,119,126,298,3,65,0,2,1,493
Jawad,Williams,2009,54,6,747,81,206,39.3,30,93,32.3,32,45,71.1,12,18,16,67,83,34,5,73,1,0,0,224
Louis,Williams,2009,64,38,1910,318,677,47,70,206,34,192,233,82.4,80,106,25,162,187,268,15,110,0,0,0,898
Marcus,Williams,2009,62,1,873,104,271,38.4,24,81,29.6,37,55,67.3,32,74,13,80,93,161,1,43,0,0,0,269
Marvin,Williams,2009,81,81,2467,302,664,45.5,40,132,30.3,176,215,81.9,66,72,106,310,416,93,46,160,1,1,0,820
Maurice,Williams,2009,69,68,2358,378,855,44.2,159,371,42.9,177,198,89.4,70,173,28,178,206,368,21,170,0,1,0,1092
Reggie,Williams,2009,24,10,779,140,283,49.5,33,92,35.9,52,62,83.9,22,29,18,92,110,66,6,49,0,1,0,365
Sean,Williams,2009,20,0,227,21,49,42.9,0,1,0,10,19,52.6,8,20,21,25,46,1,19,41,0,0,0,52
Shawne,Williams,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelden,Williams,2009,54,0,597,63,121,52.1,0,1,0,75,98,76.5,13,30,47,99,146,21,21,85,0,1,0,201
Terrence,Williams,2009,78,9,1761,261,651,40.1,31,100,31,103,144,71.5,43,124,46,302,348,223,10,126,1,0,0,656
